# ip_prefix,country_code,region_code,city,postal_code
2804:ad8:3f80::/41,BR,BR-PI,Paulistana,
179.191.56.0/24,BR,BR-PI,Picos,
177.66.116.0/23,BR,BR-PI,Picos,
179.191.57.0/24,BR,BR-PI,Picos,
2804:ad8::/34,BR,BR-PI,Picos,
179.125.124.0/22,BR,BR-PI,Bom Jesus,
2804:ad8:829b::/48,BR,BR-PI,Pio-IX,
179.125.125.0/24,BR,BR-PI,Bom Jesus,
177.66.112.0/22,BR,BR-PI,Picos,
45.226.89.0/24,BR,BR-PE,Araripina,
138.185.190.0/24,BR,BR-PE,Araripina,
2804:1510:8000::/34,BR,BR-PI,Picos,
2804:ad8:4800::/41,BR,BR-PI,Picos,
2804:ad8:4200::/41,BR,BR-PI,Picos,
2804:ad8:828d::/48,BR,BR-PI,Picos,
2804:ad8:cb80::/41,BR,BR-PI,Teresina,
179.125.126.0/23,BR,BR-PI,Bom Jesus,
179.191.62.0/23,BR,BR-PI,Bom Jesus,
2804:ad8:c000::/34,BR,BR-PI,Picos,
45.163.110.0/23,BR,BR-PI,Picos,
45.226.90.0/24,BR,BR-PI,Teresina,
168.205.242.0/23,BR,BR-PI,Picos,
2804:ad8::/32,BR,BR-PI,Picos,
2804:ad8:4600::/41,BR,BR-PI,Picos,
2804:ad8:82a0::/48,BR,BR-PI,Picos,
179.191.60.0/24,BR,BR-PI,Picos,
177.129.60.0/23,BR,BR-PI,Picos,
177.124.168.0/24,BR,BR-PI,Picos,
2804:ad8:82b7::/48,BR,BR-PI,Teresina,
168.205.241.0/24,BR,BR-PI,Picos,
2804:ad8:8000::/34,BR,BR-PI,Picos,
2804:ad8:e::/48,BR,BR-PI,Picos,
2804:1510::/34,BR,BR-PI,Picos,
45.163.110.0/24,BR,BR-PI,Picos,
2804:ad8:4028::/46,BR,BR-PI,Picos,
2804:ad8:4380::/41,BR,BR-PI,Picos,
177.66.114.0/23,BR,BR-PI,Picos,
45.226.90.0/23,BR,BR-PI,Picos,
177.129.60.0/24,BR,BR-PI,Picos,
177.66.118.0/23,BR,BR-PI,Picos,
45.163.108.0/24,BR,BR-PI,Picos,
2804:1510:4000::/34,BR,BR-PE,Araripina,
2804:ad8:401c::/46,BR,BR-PI,Picos,
2804:ad8:82c5::/48,BR,BR-PI,Picos,
45.163.109.0/24,BR,BR-PI,Picos,
2804:ad8:d::/48,BR,BR-PI,Picos,
45.179.114.0/23,BR,BR-PI,Picos,
177.129.63.0/24,BR,BR-PI,Picos,
177.129.60.0/22,BR,BR-PI,Picos,
179.191.60.0/23,BR,BR-PI,Picos,
2804:ad8:4300::/41,BR,BR-PI,Picos,
138.185.188.0/24,BR,BR-PI,Picos,
179.191.62.0/24,BR,BR-PI,Picos,
179.191.58.0/24,BR,BR-PI,Picos,
2804:ad8:82d2::/48,BR,BR-PI,Picos,
177.129.61.0/24,BR,BR-PI,Picos,
168.205.240.0/24,BR,BR-PI,Picos,
138.185.188.0/23,BR,BR-PI,Picos,
2804:ad8:4180::/41,BR,BR-PI,Picos,
179.191.58.0/23,BR,BR-PI,Picos,
170.82.124.0/22,BR,BR-PI,Picos,
2804:ad8:8289::/48,BR,BR-PI,Picos,
179.191.63.0/24,BR,BR-PI,Picos,
138.185.190.0/23,BR,BR-PI,Picos,
2804:ad8:4000::/34,BR,BR-PI,Picos,
45.163.111.0/24,BR,BR-PI,Picos,
45.226.88.0/23,BR,BR-PE,Araripina,
2804:ad8:4580::/41,BR,BR-PI,Picos,
179.191.59.0/24,BR,BR-PI,Picos,
2804:ad8:4500::/41,BR,BR-PI,Picos,
45.179.112.0/23,BR,BR-PI,Bom Jesus,
2804:ad8:8296::/48,BR,BR-PI,Picos,
177.124.170.0/24,BR,BR-PI,Picos,
45.226.91.0/24,BR,BR-PI,Picos,
177.124.168.0/23,BR,BR-PI,Picos,
168.205.243.0/24,BR,BR-PI,Picos,
170.82.124.0/23,BR,BR-PI,Picos,
168.205.240.0/23,BR,BR-PI,Picos,
138.185.191.0/24,BR,BR-PI,Picos,
138.185.188.0/22,BR,BR-PI,Picos,
177.124.171.0/24,BR,BR-PI,Teresina,
170.82.124.0/24,BR,BR-PI,Picos,
2804:ad8:82d7::/48,BR,BR-PI,Picos,
179.125.124.0/23,BR,BR-PI,Picos,
179.125.124.0/24,BR,BR-PI,Picos,
179.191.56.0/23,BR,BR-PI,Picos,
2804:ad8:82ad::/48,BR,BR-PI,Picos,
2804:1510:c000::/34,BR,BR-PE,Araripina,
177.124.169.0/24,BR,BR-PI,Picos,
168.205.242.0/24,BR,BR-PI,Picos,
177.124.170.0/23,BR,BR-PI,Picos,
2804:1510::/32,BR,BR-PI,Picos,
2804:ad8:8300::/41,BR,BR-PI,Picos,
45.226.88.0/24,BR,BR-PI,Picos,
45.163.108.0/23,BR,BR-PI,Picos,
179.125.126.0/24,BR,BR-PI,Picos,
177.129.62.0/24,BR,BR-PI,Picos,
170.82.126.0/23,BR,BR-PI,Picos,
2804:ad8:4020::/46,BR,BR-PI,Picos,
2804:4678::/32,BR,BR-PI,Picos,
138.185.189.0/24,BR,BR-PI,Picos,
179.191.61.0/24,BR,BR-PI,Picos,
179.191.56.0/21,BR,BR-PI,Picos,
2804:ad8:82cd::/48,BR,BR-PI,Picos,
177.66.116.0/22,BR,BR-PI,Picos,
177.129.62.0/23,BR,BR-PI,Picos,
